time,price
1407194177.03,580.998
1407196644.29,580.047
1407197224.34,579.73
1407204934.71,579.095
1407204936.46,579.095
1407204941.42,579.095
1407204946.31,579.095
1407208242.17,580.122
1407208242.29,580.122
1407208242.38,580.122
1407208242.46,580.122
1407208242.89,580.122
1407208243.03,580.122
1407208243.22,580.122
1407208243.3,580.122
1407208243.63,580.122
1407208243.66,580.122
1407208244.36,580.122
1407208244.47,580.122
1407208245.15,580.122
1407208276.19,580.122
1407208286.37,580.122
1407208296.55,580.122
1407208306.4,580.122
1407208316.49,580.122
1407208326.44,580.122
1407208336.52,578.501
1407208346.6,578.501
1407208356.27,578.501
1407208366.26,578.501
1407208376.3,578.501
1407208386.31,578.501
1407208396.26,578.501
1407208406.27,578.501
1407208416.27,578.5
1407208426.27,578.5
1407208436.33,578.5
1407208446.32,578.5
1407208456.29,578.348
1407208466.38,578.348
1407208476.37,578.348
1407208486.35,578.265
1407208496.4,578.265
1407208506.45,578.265
1407208516.36,578.265
1407208526.37,578.265
1407208536.54,578.265
1407208546.36,578.265
1407208556.4,578.265
1407208566.36,578.265
1407208576.61,578.265
1407208586.41,578.265
1407208596.39,578.265
1407208606.43,580.067
1407208616.41,578.401
1407208626.47,578.401
1407208636.45,578.401
1407208646.31,578.401
1407208656.6,578.401
1407208666.49,578.401
1407208676.71,578.401
1407208686.53,578.401
1407208697.03,578.401
1407208706.51,579
1407208716.57,579
1407208726.57,579
1407208737.26,578.4
1407208746.97,578.4
1407208756.9,578.4
1407208766.58,578.4
1407208776.82,578.4
1407208786.57,578.4
1407208796.57,578.4
1407208806.83,578.4
1407208816.65,578.4
1407208826.71,578.4
1407208837.06,579
1407208846.89,579
1407208856.79,579
1407208867.34,579.4
1407208877.18,578.4
1407208887.04,578.4
1407208897.06,577.78
1407208906.7,577.78
1407208916.98,577.78
1407208926.7,577.78
1407208936.72,577.78
1407208946.71,577.78
1407208956.74,578.7
1407208966.75,578.7
1407208976.78,577.777
1407208986.76,577.777
1407208996.78,577.777
1407209006.84,577.777
1407209016.87,577.777
1407209026.86,577.777
1407209036.86,577.777
1407209046.93,577.777
1407209057.27,577.777
1407209066.88,577.777
1407209076.85,577.777
1407209086.87,577.777
1407209096.94,577.777
1407209107.06,577.777
1407209116.89,577.777
1407209127.06,578.1
1407209136.88,578.1
1407209146.89,578.1
1407209156.94,578.1
1407209166.87,578.1
1407209176.9,578.1
1407209187.0,578.1
1407209197.0,578.1
1407209206.99,578.1
1407209216.99,579.219
1407209227.01,579.219
1407209237.03,579.219
1407209246.98,579.219
1407209257.07,579.219
